38,40,84,883.0
12,49,185,210.1
35,49,127,797.1
60,42,187,1291.8
24,43,122,531.7
53,34,146,1148.6
12,49,180,215.1
13,50,175,246.0
54,35,213,1107.5
24,39,96,546.1
52,50,109,1209.0
60,35,117,1341.5
16,51,154,338.9
15,47,104,354.3
46,41,161,992.9
57,35,195,1194.5
54,44,124,1222.6
53,40,146,1166.0
35,47,140,778.3
24,43,175,478.7
10,38,91,226.2
13,46,138,271.4
23,34,177,427.6
59,34,163,1269.6
3,35,109,38.5
44,40,97,1008.0
5,42,107,106.8
55,50,190,1197.0
49,44,80,1151.6
3,45,138,38.5
43,43,116,974.7
15,40,108,330.0
22,42,99,505.8
19,52,96,468.8
13,38,192,194.2
37,47,111,853.3
19,43,132,406.7
9,46,98,219.4
9,46,114,203.4
7,35,85,154.5
22,51,102,528.9
30,34,225,540.6
10,48,122,224.2
56,46,228,1170.4
6,46,96,152.4
2,50,203,-35.0
7,43,154,108.7
6,50,173,87.0
53,43,181,1139.7
10,45,183,154.5
40,35,175,823.5
39,46,145,862.4
27,34,109,587.6
16,50,183,307.0
17,43,192,300.7
22,34,184,397.6
33,41,108,746.9
6,44,198,44.6
19,36,206,312.4
50,41,144,1101.9
38,48,98,892.2
34,49,201,700.1
15,37,151,278.3
40,35,170,828.5
45,37,179,940.3
34,36,183,680.4
36,48,200,744.2
19,49,168,388.1
5,48,126,105.2
30,51,198,616.9
15,46,166,289.4
13,49,107,311.1
7,47,126,148.3
32,46,144,702.4
53,47,122,1210.3
5,46,221,4.4
17,44,182,313.6
8,35,80,182.5
38,45,206,775.5
35,49,151,773.1
11,48,89,280.2
43,52,86,1030.8
50,48,127,1139.2
19,45,84,460.5
50,37,99,1135.3
45,51,215,944.9
7,48,214,63.2
47,37,157,1008.3
39,44,105,896.6
4,48,179,29.2
57,51,136,1299.9
49,45,137,1097.5
39,49,84,932.1
47,52,192,1016.8
36,40,205,716.0
57,39,163,1238.1
28,46,100,654.4
53,45,231,1095.5
37,34,219,707.6
26,51,105,617.9
20,49,102,477.1
53,48,212,1123.2
32,37,199,621.3
20,42,93,465.8
58,50,94,1362.0
50,44,78,1176.6
34,41,172,705.9
34,43,228,655.7
36,42,221,705.8
